
 ps_partkey  ps_suppkey  l_orderkey  l_linenumber 
       1985          18       15847             3 
        814          14       15847             4 
       1223          61       15847             5 
        897          98       15872             1 
       1345          60       15872             2 
        559          60       15872             3 
         66          92       15873             1 
        554          85       15874             1 
        344          45       15874             2 
       1516          37       15875             1 
       1935          36       15875             2 
        116          17       15875             3 
       1368          45       15875             4 
       1649          50       15876             1 
       1486          65       15876             2 
        486          16       15877             1 
        605          37       15877             2 
        423          82       15877             3 
       1417          96       15878             1 
       1573          74       15878             2 
       1727          70       15878             3 
        106          33       15878             4 
       1777          78       15878             5 
        332          33       15879             1 
       1397          98       15879             2 
        805           5       15879             3 
        783          48       15904             1 
        216          44       15904             2 
       1717          60       15904             3 
       1354          69       15904             4 
       1533          54       15904             5 
        848          82       15905             1 
        951          86       15906             1 
        476           6       15906             2 
        748          45       15906             3 
        715          16       15907             1 
       1458          98       15907             2 
        485          15       15907             3 
        562          93       15907             4 
       1555          76       15907             5 
       1357          96       15907             6 
       1991          36       15908             1 
       1612          95       15908             2 
       1201          13       15908             3 
        222          50       15908             4 
        428          87       15908             5 
        965          68       15908             6 
       1310          25       15908             7 
        712           9       15909             1 
        805          39       15909             2 
        985          20       15909             3 
        785          82       15909             4 
       1160          33       15909             5 
        688          20       15910             1 
       1798          99       15910             2 
       1771          72       15910             3 
       1230          42       15910             4 
       1821          51       15910             5 
         79          55       15910             6 
       1389           4       15911             1 
       1770          13       15911             2 
        189          16       15911             3 
       1419          59       15936             1 
       1520          41       15936             2 
       1844          31       15936             3 
        378          63       15936             4 
       1346          23       15936             5 
       1933          22       15936             6 
        156          57       15937             1 
        137          38       15937             2 
        397          26       15937             3 
        107           8       15938             1 
        385          70       15938             2 
       1289          90       15938             3 
       1259          34       15938             4 
       1904          49       15938             5 
       1209          84       15939             1 
        177          78       15939             2 
        674          37       15939             3 
       1861          91       15939             4 
       1666          67       15939             5 
        418          77       15940             1 
        188          41       15940             2 
        645          39       15940             3 
        539          30       15941             1 
       1566          67       15941             2 
       1691          15       15941             3 
        418          77       15941             4 
        375          60       15941             5 
       1048          84       15941             6 
        579          80       15942             1 
       1320          21       15942             2 
        650          51       15942             3 
       1151          52       15942             4 
       1605           6       15942             5 
       1578          59       15943             1 
       1875          62       15943             2 
       1765          92       15968             1 
       1631          14       15968             2 
       1641          42       15968             3 
        535          36       15968             4 
       1399          38       15969             1 
        432          91       15969             2 
       1677          60       15970             1 
         39          65       15970             2 
       1098          34       15970             3 
       1875          76       15970             4 
        750          51       15971             1 
       1604          87       15971             2 
        430          31       15971             3 
        917          52       15971             4 
       1446          86       15972             1 
        181           8       15972             2 
        171          50       15972             3 
       1492          93       15972             4 
        574          75       15973             1 
        273          28       15973             2 
       1767          10       15974             1 
        326          11       15974             2 
         12          63       15974             3 
        165          66       15975             1 
        941          44       15975             2 
        566          27       15975             3 
       1982          71       15975             4 
        587          48       15975             5 
       1623          47       15975             6 
       1456          57       15975             7 
         51          27       16000             1 
        158          85       16000             2 
        844          44       16000             3 
       1273          48       16000             4 
       1468          69       16000             5 
        143          22       16000             6 
       1108          81       16001             1 
         81          57       16001             2 
       1915          60       16001             3 
        592          23       16001             4 
        697          91       16001             5 
        355          56       16001             6 
         68          94       16002             1 
        134          61       16002             2 
       1927          60       16002             3 
         91          92       16003             1 
       1882          83       16003             2 
       1482         100       16003             3 
       1867          54       16003             4 
       1948          49       16003             5 
        108          61       16003             6 
        889          23       16004             1 
       1056          57       16004             2 
        959          60       16005             1 
       1044          80       16005             2 
       1160          61       16005             3 
       1539          20       16005             4 
        795          96       16005             5 
       1944          45       16005             6 
       1278          53       16005             7 
        541           2       16006             1 
       1986          19       16006             2 
       1887          74       16006             3 
        486          45       16006             4 
       1369          46       16006             5 
       1438          17       16007             1 
        954          89       16007             2 
        803           4       16007             3 
       1952          97       16007             4 
       1779          64       16032             1 
         51          52       16032             2 
       1116          17       16032             3 
       1478          18       16032             4 
        474           4       16032             5 
       1487          27       16033             1 
       1728          13       16033             2 
       1773         100       16033             3 
        169          48       16033             4 
       1832          19       16033             5 
        979          14       16033             6 
        448          78       16034             1 
        179           6       16034             2 
        957          60       16034             3 
       1892          79       16035             1 
        747          80       16035             2 
        898          98       16036             1 
       1663          87       16036             2 
       1510          31       16036             3 
       1336          51       16036             4 
        791          24       16037             1 
       1792          35       16037             2 
        824          24       16037             3 
       1333          48       16037             4 
        260          15       16038             1 
        261          43       16038             2 
        574          75       16038             3 
        387          16       16038             4 
        637          69       16038             5 
        965          66       16039             1 
        831          65       16039             2 
       1544          65       16039             3 
       1140          13       16039             4 
        190          91       16064             1 
       1663           5       16064             2 
       1940          41       16064             3 
        617          49       16065             1 
       1809          39       16065             2 
       1039          10       16066             1 
       1986          87       16066             2 
         99          75       16066             3 
        559          20       16067             1 
        627          59       16067             2 
        972          73       16067             3 
        404          92       16067             4 
       1706           7       16067             5 
       1951          52       16068             1 
       1824          25       16069             1 
       1746          47       16069             2 
       1060          31       16069             3 
        733          66       16070             1 
       1586          87       16070             2 
       1502          23       16071             1 
       1088          59       16096             1 
        356          13       16096             2 
       1173          82       16096             3 
       1537          78       16096             4 
        704          69       16096             5 
        468          27       16096             6 
        233          88       16097             1 
       1026          97       16097             2 
        200          79       16097             3 
       1310          49       16097             4 
        842          42       16098             1 
        122          23       16098             2 
        875          75       16098             3 
       1486          87       16098             4 
       1513          14       16098             5 
       1636          60       16099             1 
        178          79       16099             2 
        151          78       16099             3 
       1555          36       16099             4 
       1282          94       16100             1 
        418          19       16100             2 
       1413          53       16100             3 
        591          52       16100             4 
       1143          44       16100             5 
       1330           7       16100             6 
        666          29       16100             7 
        697          29       16101             1 
        420          50       16101             2 
       1099          70       16102             1 
        638           1       16102             2 
       1718          61       16103             1 
       1661          44       16103             2 
         11          12       16103             3 
       1986          31       16103             4 
        993          96       16103             5 
       1897          41       16103             6 
       1703          46       16103             7 
       1548          49       16128             1 
        905           6       16128             2 
       1345          84       16128             3 
         39          90       16129             1 
       1083          89       16129             2 
       1340          79       16130             1 
       1399          38       16130             2 
        427          57       16130             3 
       1732          75       16130             4 
        675          76       16130             5 
        285          86       16130             6 
       1575          16       16130             7 
        412          71       16131             1 
       1925          70       16131             2 
       1055          56       16131             3 
       1755          40       16131             4 
       1113          86       16131             5 
       1184          93       16131             6 
       1972           5       16131             7 
        628          22       16132             1 
        663          57       16132             2 
        667          61       16133             1 
       1014          15       16133             2 
       1609          33       16133             3 
       1714          15       16133             4 
       1038          74       16133             5 
        136          63       16133             6 
       1045          81       16134             1 
       1782          83       16134             2 
       1335          50       16134             3 
       1957          90       16134             4 
       1515          96       16134             5 
       1795          22       16134             6 
       1127          64       16134             7 
          1          52       16135             1 
       1686          69       16160             1 
        609          41       16161             1 
        618          12       16161             2 
        318           3       16161             3 
        527          88       16161             4 
        239          21       16161             5 
       1112          49       16161             6 
       1809          53       16161             7 
       1975           8       16162             1 
       1031           2       16162             2 
       1191         100       16163             1 
       1402          81       16163             2 
        905           8       16163             3 
        586          77       16163             4 
        800          33       16164             1 
       1676          18       16164             2 
        631          63       16164             3 
       1701          28       16164             4 
        909          44       16165             1 
        163          16       16165             2 
       1676          18       16165             3 
        303           4       16165             4 
        116          43       16166             1 
       1253          28       16166             2 
        361          18       16167             1 
       1201          76       16167             2 
        717          82       16167             3 
       1236          11       16167             4 
       1797          24       16167             5 
        152           5       16167             6 
        150          51       16192             1 
        281           9       16192             2 
       1612          36       16192             3 
        992          93       16192             4 
       1935          68       16192             5 
         63          64       16193             1 
       1006          77       16193             2 
        803          70       16193             3 
        721          54       16193             4 
        816          50       16194             1 
       1171          44       16194             2 
        191          92       16194             3 
       1514          15       16194             4 
        932           1       16194             5 
       1422          23       16194             6 
        534          65       16195             1 
        692          55       16195             2 
        704           1       16196             1 
        766          31       16196             2 
       1304          81       16196             3 
       1412          30       16196             4 
        141          20       16196             5 
       1183          84       16197             1 
        137          16       16197             2 
         16          67       16197             3 
       1218          93       16197             4 
       1430          70       16197             5 
        154           7       16198             1 
          1          27       16198             2 
        622          85       16199             1 
        304          89       16199             2 
         41          42       16199             3 
       1171          80       16199             4 
       1889          90       16199             5 
         19          20       16199             6 
       1004          75       16224             1 
        430          18       16224             2 
       1783          10       16224             3 
        536          27       16224             4 
         78          79       16224             5 
         61          12       16225             1 
       1801          88       16225             2 
        206          88       16225             3 
        450          80       16226             1 
        938          73       16227             1 
       1315          16       16228             1 
       1077          48       16228             2 
        199          78       16228             3 
       1829          73       16228             4 
        214          42       16229             1 
       1946          91       16229             2 
       1475          54       16229             3 
       1049          55       16229             4 
        938          39       16229             5 
       1466          84       16229             6 
       1874           4       16229             7 
        676          39       16230             1 
        535          96       16230             2 
       1707           8       16230             3 
       1745          30       16230             4 
       1460          39       16230             5 
        782          47       16230             6 
        655          18       16230             7 
        432          20       16231             1 
        923          92       16231             2 
        311          68       16231             3 
       1352          53       16231             4 
       1092          98       16256             1 
       1850          94       16256             2 
       1121          58       16256             3 
       1144          17       16257             1 
       1517          58       16257             2 
       1734          61       16257             3 
       1442          60       16258             1 
       1448          88       16258             2 
       1721          64       16258             3 
        832          32       16259             1 
        159          12       16259             2 
        172          25       16259             3 
        478          79       16259             4 
       1414          93       16260             1 
       1704          47       16261             1 
       1008          14       16261             2 
        871          72       16261             3 
       1528           9       16261             4 
        797          98       16261             5 
        674          75       16262             1 
       1921          66       16262             2 
         42          93       16262             3 
       1184          85       16262             4 
       1605          29       16262             5 
       1655          56       16262             6 
        946          81       16262             7 
       1517          18       16263             1 
       1467          68       16263             2 
        986          55       16263             3 
       1803           4       16263             4 
       1986          87       16263             5 
       1055          91       16263             6 
       1075          46       16288             1 
        621          53       16288             2 
        188          67       16288             3 
        492          93       16288             4 
         87          13       16288             5 
       1173          82       16289             1 
       1562          43       16289             2 
        418          19       16289             3 
       1512          93       16289             4 
        455          43       16289             5 
       1794          37       16289             6 
        368          97       16289             7 
       1450          68       16290             1 
        157          10       16290             2 
        762          59       16290             3 
         69          95       16290             4 
       1085          86       16291             1 
        821          55       16291             2 
        882          16       16292             1 
       1153          54       16292             2 
        269          24       16292             3 
        429          30       16292             4 
       1624          25       16292             5 
        569          70       16292             6 
        179          32       16293             1 
        669          63       16293             2 
       1870          71       16293             3 
        635          29       16293             4 
        345          46       16293             5 
        175          76       16293             6 
        783          48       16294             1 
        511          72       16294             2 
       1864           8       16294             3 
        616          79       16294             4 
       1083          89       16294             5 
        610          42       16294             6 
        161          40       16295             1 
       1593          14       16320             1 
       1954          55       16320             2 
        122           1       16320             3 
       1198          71       16320             4 
       1937          70       16320             5 
        513          14       16321             1 
       1002          73       16321             2 
       1931          32       16322             1 
        985          20       16322             2 
        928          31       16322             3 
       1261          62       16323             1 
        946          15       16323             2 
       1040          11       16323             3 
       1552          33       16323             4 
        323          80       16324             1 
        518           9       16324             2 
        653          85       16324             3 
       1941          74       16325             1 
       1508          29       16326             1 
        502          33       16326             2 
       1716           1       16326             3 
        683          15       16326             4 
        675           7       16326             5 
        968           3       16326             6 
       1264          39       16327             1 
        846          80       16352             1 
        507          68       16352             2 
       1234           9       16352             3 
        239          21       16352             4 
        101          54       16352             5 
       1929          62       16352             6 
        795          60       16353             1 
        328          85       16353             2 
        176          77       16353             3 
        419          78       16353             4 
       1843          30       16353             5 
       1360          99       16354             1 
        765          62       16354             2 
       1039          10       16354             3 
        572           3       16354             4 
       1198          99       16354             5 
        306           7       16355             1 
       1575          16       16355             2 
        767          68       16355             3 
        514          15       16355             4 
        146          99       16355             5 
       1471          72       16355             6 
        345          30       16355             7 
       1453          71       16356             1 
       1200          73       16356             2 
       1972          73       16356             3 
        968          71       16356             4 
        725          22       16356             5 
        579          40       16356             6 
       1570          71       16356             7 
       1283          84       16357             1 
       1572          93       16358             1 
        436          37       16358             2 
       1620          62       16358             3 
       1562          63       16359             1 
       1758          85       16359             2 
        268          96       16359             3 
        415          16       16359             4 
       1471          11       16359             5 
        462          92       16384             1 
        138          17       16385             1 
       1232          33       16386             1 
        232          60       16386             2 
        310          95       16386             3 
        880          81       16386             4 
       1932          33       16386             5 
       1927          72       16386             6 
       1181          82       16386             7 
       1890          77       16387             1 
       1511          92       16387             2 
         67          18       16388             1 
        336          21       16388             2 
        131          32       16389             1 
       1192           1       16389             2 
        613          45       16389             3 
       1781          24       16390             1 
        186          87       16391             1 
         37          88       16391             2 
       1935          36       16391             3 
       1572          93       16391             4 
       1489           7       16391             5 
       1417          35       16391             6 
        295          50       16416             1 
       1840          84       16417             1 
       1548          69       16417             2 
        470          71       16417             3 
        903           4       16417             4 
        419           7       16418             1 
        962          63       16418             2 
         27          53       16418             3 
       1219          57       16418             4 
          5           6       16419             1 
       1762          89       16419             2 
       1726          53       16419             3 
         23          74       16420             1 
       1607          90       16420             2 
        467          68       16420             3 
        384          85       16420             4 
       1054          90       16420             5 
        950          53       16421             1 
       1945          90       16422             1 
       1044          80       16422             2 
       1859          60       16422             3 
       1322          99       16422             4 
       1812          13       16422             5 
        267          49       16423             1 
       1103          40       16423             2 
       1862          92       16423             3 
        502           3       16423             4 
        552          13       16448             1 
       1994          83       16448             2 
        558          89       16448             3 
        269          51       16449             1 
       1126          27       16449             2 
        849          50       16449             3 
       1896          83       16449             4 
        838          72       16450             1 
       1001          37       16450             2 
       1206          44       16450             3 
        741          74       16450             4 
       1864          94       16450             5 
       1141          42       16450             6 
        659          91       16451             1 
       1790          17       16451             2 
        450           9       16451             3 
       1000           1       16451             4 
        317          74       16451             5 
       1412          91       16452             1 
       1181          54       16452             2 
        198          77       16452             3 
       1757         100       16452             4 
       1496          75       16452             5 
         76           2       16453             1 
       1861          62       16453             2 
       1102          39       16453             3 
       1314          91       16453             4 
        604          67       16453             5 
       1446          86       16453             6 
       1413          31       16453             7 
        726          59       16454             1 
       1885          72       16454             2 
        529          30       16454             3 
        726          59       16454             4 
       1044          50       16454             5 
       1181          54       16454             6 
        938          41       16455             1 
        588          19       16480             1 
        357          42       16480             2 
        163          90       16480             3 
       1863          93       16480             4 
       1987          76       16480             5 
       1766          51       16480             6 
        176           3       16480             7 
        100          26       16481             1 
        680          43       16481             2 
       1038          44       16482             1 
       1921          66       16483             1 
        734          35       16483             2 
        883          17       16484             1 
        793          58       16485             1 
       1836          37       16485             2 
        488          18       16485             3 
        164          65       16486             1 
        543          34       16487             1 
       1594          35       16487             2 
       1936          81       16487             3 
        108           9       16487             4 
       1978          67       16512             1 
        973          76       16512             2 
        664          96       16512             3 
       1228          40       16513             1 
       1210          85       16513             2 
       1786          29       16513             3 
        164          91       16514             1 
        774           7       16514             2 
       1606          48       16514             3 
       1679          80       16514             4 
       1077          78       16514             5 
        233          61       16515             1 
        483          13       16515             2 
         45          21       16515             3 
        832          32       16515             4 
        730          31       16515             5 
       1645          69       16516             1 
         57          33       16516             2 
        569          30       16516             3 
        332          61       16517             1 
        311          68       16517             2 
        284          12       16518             1 
       1314          29       16518             2 
        660          54       16519             1 
        373          74       16519             2 
       1863          64       16519             3 
       1122          95       16544             1 
        498          57       16544             2 
         18          44       16544             3 
       1490           8       16544             4 
       1832          76       16544             5 
        293          94       16544             6 
        537          98       16545             1 
       1867          11       16545             2 
        314          15       16545             3 
       1753          96       16545             4 
       1821          65       16545             5 
       1253          54       16545             6 
        437          38       16545             7 
       1351          52       16546             1 
       1510          91       16547             1 
        127           6       16547             2 
       1930          19       16547             3 
       1613          37       16547             4 
       1448          27       16547             5 
       1437          16       16547             6 
        601          95       16547             7 
       1635          77       16548             1 
        444           3       16548             2 
       1950          39       16548             3 
       1503           4       16548             4 
       1845          89       16549             1 
        235          36       16550             1 
         80          56       16550             2 
        984          85       16550             3 
        993          94       16550             4 
       1118          19       16550             5 
        558          19       16550             6 
        947          48       16551             1 
       1041          42       16551             2 
        357          86       16551             3 
       1401          19       16551             4 
       1344          59       16551             5 
       1958          91       16576             1 
        234          89       16576             2 
        416          17       16576             3 
        782          15       16576             4 
       1805          92       16577             1 
        252          53       16577             2 
        116          17       16577             3 
       1434          52       16577             4 
       1260          72       16577             5 
       1292          93       16578             1 
        161          88       16578             2 
        300          82       16578             3 
        439          98       16578             4 
       1586          27       16578             5 
       1768          53       16579             1 
       1181          18       16579             2 
       1996          85       16579             3 
       1006          77       16580             1 
       1648          72       16580             2 
        904          73       16580             3 
       1603          86       16580             4 
       1378          17       16580             5 
        515          16       16580             6 
        939          42       16581             1 
        458          88       16581             2 
         51          77       16582             1 
       1457          75       16582             2 
        551          12       16582             3 
        922          23       16582             4 
        127           6       16583             1 
       1939          84       16583             2 
       1832          76       16583             3 
       1332          47       16583             4 
       1059          65       16583             5 
       1694          95       16608             1 
        879          13       16608             2 
       1025          26       16608             3 
        739          36       16608             4 
        914          15       16608             5 
        672           4       16608             6 
       1923          68       16608             7 
         39          65       16609             1 
       1837          67       16609             2 
        564          95       16609             3 
        764          29       16609             4 
       1599         100       16609             5 
        393          78       16609             6 
        789          54       16610             1 
       1787          72       16610             2 
        675          69       16610             3 
       1869          70       16610             4 
       1803          90       16610             5 
        258          13       16611             1 
        766          67       16611             2 
         49         100       16611             3 
         28          54       16611             4 
       1197           6       16611             5 
       1909          98       16611             6 
       1868          55       16611             7 
        679          11       16612             1 
        942          11       16612             2 
        457          58       16612             3 
       1074          10       16612             4 
       1587          88       16613             1 
        100           1       16613             2 
       1838          25       16613             3 
        197          24       16613             4 
        589          90       16613             5 
        375          60       16613             6 
       1403          21       16614             1 
        674          68       16614             2 
        196          75       16614             3 
       1550          71       16614             4 
       1505          46       16615             1 
       1198           7       16615             2 
        725          90       16615             3 
       1734          77       16615             4 
        144          23       16640             1 
       1049          20       16640             2 
       1705           6       16640             3 
       1916          17       16640             4 
        934          35       16640             5 
        845          79       16641             1 
        676           8       16641             2 
       1642          84       16641             3 
        194          47       16642             1 
       1077          78       16642             2 
       1506           7       16642             3 
         63          39       16642             4 
        788          21       16643             1 
       1145          54       16643             2 
       1198          35       16643             3 
        610          73       16644             1 
        320          77       16644             2 
       1641          24       16644             3 
       1092          28       16645             1 
       1875          19       16645             2 
       1876          20       16646             1 
       1760          45       16646             2 
       1168          41       16646             3 
        956          91       16646             4 
        657          58       16647             1 
        170          97       16647             2 
       1066          67       16647             3 
       1103           4       16647             4 
        705          38       16647             5 
        295          77       16647             6 
         70          21       16672             1 
       1948          93       16673             1 
        917          52       16674             1 
       1134          35       16674             2 
        953          88       16674             3 
        682          45       16674             4 
        137          38       16674             5 
        334          19       16674             6 
       1741          26       16674             7 
        290          45       16675             1 
         80          31       16675             2 
       1477          78       16675             3 
       1769          96       16675             4 
        164          91       16675             5 
        178           5       16675             6 
       1872          16       16676             1 
        100          76       16676             2 
       1972          61       16676             3 
        206           7       16676             4 
         41          92       16676             5 
        747          80       16676             6 
       1479          80       16677             1 
       1724          25       16677             2 
       1643          26       16677             3 
       1419          37       16677             4 
        483          42       16677             5 
         12          63       16677             6 
       1146          83       16677             7 
       1797          24       16678             1 
       1189          26       16678             2 
       1609          51       16679             1 
        592          53       16679             2 
       1603          86       16679             3 
        228          10       16679             4 
       1233          34       16679             5 
       1680           4       16679             6 
       1273          74       16704             1 
        503          64       16705             1 
       1333          34       16706             1 
        822          89       16706             2 
        977          12       16706             3 
        563          64       16706             4 
         30          56       16706             5 
        265          47       16706             6 
       1571          12       16706             7 
       1996          29       16707             1 
        997          66       16708             1 
         72          98       16708             2 
       1803          47       16708             3 
       1999          88       16708             4 
       1677          60       16709             1 
       1890          20       16709             2 
       1560          81       16709             3 
       1548          89       16709             4 
        634          66       16709             5 
        550          51       16709             6 
        695          58       16710             1 
        200          27       16711             1 
       1456          35       16711             2 
        352          37       16711             3 
       1031          67       16711             4 
        168          21       16711             5 
        965          66       16711             6 
         82          83       16711             7 
         90          41       16736             1 
        312          41       16736             2 
       1423          63       16736             3 
        372          73       16736             4 
       1228          29       16736             5 
        607          39       16736             6 
       1170          43       16736             7 
       1175          12       16737             1 
        648          80       16737             2 
       1379          80       16738             1 
       1999          44       16738             2 
        945          48       16738             3 
        919          22       16738             4 
       1845          75       16739             1 
       1139          76       16739             2 
        105          84       16739             3 
       1760          45       16739             4 
        137          90       16739             5 
       1447          87       16740             1 
        491          21       16740             2 
